date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:35:52	634426/634426	---M--	200	added ('OK')	image/png	etag:%227a9f73a8a137e58d6d45e3bf8c848660%22	https://cdn.prod.website-files.com/6422b97da98152839ebb0b60/6683c80d89e0100b3f5cf0d5_6515bb20b081207f8b9ea0c6_lukasz-krzeminski.png	C:/Users/guilh/Downloads/Genesis/cdn.prod.website-files.com/6422b97da98152839ebb0b60/6683c80d89e0100b3f5cf0d5_6515bb20b081207f8b9ea0c6_lukasz-krzeminski.png	(from https://www.widelab.co/)
18:35:52	368147/368147	---MCZ	200	added ('OK')	text/javascript	etag:W/%226a64e78edcf318bd2dbcdada2fb5e353%22	https://cdn.prod.website-files.com/6422b97da981524088bb0b36/js/wideweb.schunk.20fae4ccd8d31fc7.js	C:/Users/guilh/Downloads/Genesis/cdn.prod.website-files.com/6422b97da981524088bb0b36/js/wideweb.schunk.20fae4ccd8d31fc7.js	(from https://www.widelab.co/)
18:35:53	266304/266304	---MCZ	200	added ('OK')	text/javascript	etag:W/%22b768ba0413b735b27d004e32158443ef%22	https://cdn.prod.website-files.com/6422b97da981524088bb0b36/js/wideweb.schunk.88fa6be1d0941901.js	C:/Users/guilh/Downloads/Genesis/cdn.prod.website-files.com/6422b97da981524088bb0b36/js/wideweb.schunk.88fa6be1d0941901.js	(from https://www.widelab.co/)
18:35:53	2046/2046	---MCZ	200	added ('OK')	text/javascript	etag:W/%2211158677b47447ba7172d52ab8fb9f47%22	https://cdn.prod.website-files.com/6422b97da981524088bb0b36/js/wideweb.8c30012e.51d74215ec331b20.js	C:/Users/guilh/Downloads/Genesis/cdn.prod.website-files.com/6422b97da981524088bb0b36/js/wideweb.8c30012e.51d74215ec331b20.js	(from https://www.widelab.co/)
18:35:55	29614/29614	---MCZ	200	added ('OK')	application/javascript	etag:W/%2273ae-nwFPCwd3UXiTZ7YuAXjbCNGDpOw%22	https://cdn.jsdelivr.net/npm/@finsweet/cookie-consent@1/fs-cc.js	C:/Users/guilh/Downloads/Genesis/cdn.jsdelivr.net/npm/@finsweet/cookie-consent@1/fs-cc.js	(from https://www.widelab.co/)
18:35:55	6369/6369	---M--	502	error ('Bad%20Gateway')	text/html	date:Wed,%2019%20Mar%202025%2021:33:17%20GMT	https://www.widelab.co/%c3%a2%c2%80%c2%9dhttp://cdn.jsdelivr.net%22	C:/Users/guilh/Downloads/Genesis/www.widelab.co/%c3%a2%c2%80%c2%9dhttp_/cdn.jsdelivr.html	(from https://www.widelab.co/)
18:35:57	107667/107667	---MCZ	200	added ('OK')	text/html	date:Mon,%2017%20Mar%202025%2011:14:33%20GMT	https://www.widelab.co/case-studies/traineffective	C:/Users/guilh/Downloads/Genesis/www.widelab.co/case-studies/traineffective.html	(from https://www.widelab.co/case-studies)
18:35:57	140306/140306	---M--	200	added ('OK')	image/jpeg	etag:%22e2868d10d3a33567ca25cad167d9b26d%22	https://cdn.prod.website-files.com/6422b97da98152839ebb0b60/664770f0f11b5ede862cdaf8_ck-1.jpg	C:/Users/guilh/Downloads/Genesis/cdn.prod.website-files.com/6422b97da98152839ebb0b60/664770f0f11b5ede862cdaf8_ck-1.jpg	(from https://www.widelab.co/clients)
18:35:57	18445/18445	---M--	200	added ('OK')	image/jpeg	etag:%224699cd02d12cf195a4ddaf9b6d546c0c%22	https://cdn.prod.website-files.com/6422b97da98152839ebb0b60/664770f35afa9d658cbf01a5_ck-2.jpg	C:/Users/guilh/Downloads/Genesis/cdn.prod.website-files.com/6422b97da98152839ebb0b60/664770f35afa9d658cbf01a5_ck-2.jpg	(from https://www.widelab.co/clients)
18:35:58	18712/18712	---M--	200	added ('OK')	image/jpeg	etag:%22dc99cbcc5a2d86fa3df9d85528956ff0%22	https://cdn.prod.website-files.com/6422b97da98152839ebb0b60/664770f6734b16e49ae09f4b_ck-3.jpg	C:/Users/guilh/Downloads/Genesis/cdn.prod.website-files.com/6422b97da98152839ebb0b60/664770f6734b16e49ae09f4b_ck-3.jpg	(from https://www.widelab.co/clients)
18:35:58	620854/620854	---M--	200	added ('OK')	image/png	etag:%22132db84d2f7691b14f734b11ef680f0c%22	https://cdn.prod.website-files.com/6422b97da98152839ebb0b60/66cd90bf3c12269cfbbe366b_WeWork_a.png	C:/Users/guilh/Downloads/Genesis/cdn.prod.website-files.com/6422b97da98152839ebb0b60/66cd90bf3c12269cfbbe366b_WeWork_a.png	(from https://www.widelab.co/clients)
18:35:58	112658/112658	---M--	200	added ('OK')	image/png	etag:%22b199a00a30b7170e60f59b002eae00e0%22	https://cdn.prod.website-files.com/6422b97da98152839ebb0b60/66cd90c3dc44806a5291a21a_WeWork_a%20(1).png	C:/Users/guilh/Downloads/Genesis/cdn.prod.website-files.com/6422b97da98152839ebb0b60/66cd90c3dc44806a5291a21a_WeWork_a%20(1).png	(from https://www.widelab.co/clients)
18:35:58	260065/260065	---M--	200	added ('OK')	image/png	etag:%225093ca4a4b7728f75fb99d03ec1c8553%22	https://cdn.prod.website-files.com/6422b97da98152839ebb0b60/66cd90c6c5cc500049332548_WeWork_a%20(2).png	C:/Users/guilh/Downloads/Genesis/cdn.prod.website-files.com/6422b97da98152839ebb0b60/66cd90c6c5cc500049332548_WeWork_a%20(2).png	(from https://www.widelab.co/clients)
18:35:59	31502/31502	---M--	200	added ('OK')	image/png	etag:%2207699c7aaa559c23c5780462f192debd%22	https://cdn.prod.website-files.com/6422b97da98152839ebb0b60/66e2bfdaeeee3adceaa0aa5e_mend.io_.png	C:/Users/guilh/Downloads/Genesis/cdn.prod.website-files.com/6422b97da98152839ebb0b60/66e2bfdaeeee3adceaa0aa5e_mend.io_.png	(from https://www.widelab.co/clients)
